index,source,leaning,reliability_score,bias_score,vader_comment,comment,vader_transcript,clean_comment
1,bbc_news,Center,44.73,-1.33,"{'compound': 0.3182, 'positive': 0.187, 'neutral': 0.813, 'negative': 0.0}","You tariff me, I tariff you. It seems fair to me. ",,"you tariff me, i tariff you. it seems fair to me."
1,bbc_news,Center,44.73,-1.33,"{'compound': 0.0, 'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}",Wonder how Trump administration is going to be pumping Qardun Token,,wonder how trump administration is going to be pumping qardun token
1,bbc_news,Center,44.73,-1.33,"{'compound': -0.7131, 'positive': 0.066, 'neutral': 0.738, 'negative': 0.196}","if Fentanyl enter US through Canada, why don't Canada experience the same problem of Fentanyl abuse like US??? logic says it should be abundant and cheaper in Canada compared to US",,"if fentanyl enter us through canada, why don't canada experience the same problem of fentanyl abuse like us??? logic says it should be abundant and cheaper in canada compared to us"
1,bbc_news,Center,44.73,-1.33,"{'compound': 0.296, 'positive': 0.098, 'neutral': 0.846, 'negative': 0.056}","So trump said he’d tariff Canada, Canada threatened to tariff back. Then trump got Canada to promise to carry on doing what they were already doing, and in return for things staying the same he’s not going ahead with the tariffs. Truly the deal maker of the century",,"so trump said he’d tariff canada, canada threatened to tariff back. then trump got canada to promise to carry on doing what they were already doing, and in return for things staying the same he’s not going ahead with the tariffs. truly the deal maker of the century"
1,bbc_news,Center,44.73,-1.33,"{'compound': -0.6597, 'positive': 0.0, 'neutral': 0.565, 'negative': 0.435}",America needs to stop blaming other countries for everything,,america needs to stop blaming other countries for everything
1,bbc_news,Center,44.73,-1.33,"{'compound': -0.9682, 'positive': 0.068, 'neutral': 0.297, 'negative': 0.635}",Blaming China for the US Fentanyl crisis is like blaming gun powder companies for the US gun violence crisis.,,blaming china for the us fentanyl crisis is like blaming gun powder companies for the us gun violence crisis.
1,bbc_news,Center,44.73,-1.33,"{'compound': 0.0, 'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}","I don't get what Canada has to do with fentanyl. If anything, more crosses into Canada from the US than the other way round.",,"i don't get what canada has to do with fentanyl. if anything, more crosses into canada from the us than the other way round."
1,bbc_news,Center,44.73,-1.33,"{'compound': 0.34, 'positive': 0.437, 'neutral': 0.312, 'negative': 0.25}","With friends like Trump, who needs enemies...",,"with friends like trump, who needs enemies..."
1,bbc_news,Center,44.73,-1.33,"{'compound': -0.6966, 'positive': 0.067, 'neutral': 0.7, 'negative': 0.233}","I am surprised that Canada does not bring up the problem of illegal guns, drugs and migrants that enter Canada from the USA??",,"i am surprised that canada does not bring up the problem of illegal guns, drugs and migrants that enter canada from the usa??"
1,bbc_news,Center,44.73,-1.33,"{'compound': -0.7003, 'positive': 0.0, 'neutral': 0.784, 'negative': 0.216}","US wanted to make a fool out of China. But instead, the US made a fool of itself. Let that be a lesson.",,"us wanted to make a fool out of china. but instead, the us made a fool of itself. let that be a lesson."
1,bbc_news,Center,44.73,-1.33,"{'compound': 0.0, 'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}",China has the right to defend itself .....,,china has the right to defend itself .....
1,bbc_news,Center,44.73,-1.33,"{'compound': 0.3182, 'positive': 0.168, 'neutral': 0.741, 'negative': 0.091}",Well as a UK citizen I am boycotting US goods. Surely we learned from pre WW2 appeasement that you have to stand up to bullies?,,well as a uk citizen i am boycotting us goods. surely we learned from pre ww2 appeasement that you have to stand up to bullies?
1,bbc_news,Center,44.73,-1.33,"{'compound': -0.3182, 'positive': 0.0, 'neutral': 0.813, 'negative': 0.187}",I will boycott EVERYTHING from the USA until Trump is OUT,,i will boycott everything from the usa until trump is out
